Year,Butte County,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency Improvement District No 4,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
1981,D,AN,AN,AN,AN,AN,AN,BN,AN,AN,AN,AN,AN,BN,BN,AN,AN,AN,AN,AN,BN,AN,AN,AN,AN,BN,BN,W,BN,AN,AN,AN,BN,D,BN,BN,AN,BN,BN,BN,AN,BN,AN
1982,C,W,AN,W,W,W,W,W,W,W,W,AN,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
1983,C,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
1984,BN,D,BN,D,D,D,BN,BN,BN,D,D,BN,D,D,D,BN,D,BN,D,D,D,D,D,D,BN,D,BN,D,D,C,C,D,D,BN,D,D,C,BN,C,C,C,D,D
1985,AN,BN,BN,BN,BN,D,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,AN,BN,BN,BN,AN,BN,BN,D,AN,D,D,D,D,D,C,D,BN,D,BN
1986,BN,BN,BN,BN,BN,BN,D,BN,BN,BN,BN,BN,BN,BN,BN,BN,AN,BN,BN,BN,AN,BN,BN,D,BN,BN,BN,BN,BN,BN,BN,AN,BN,BN,AN,BN,AN,BN,AN,AN,AN,AN,AN
1987,W,BN,D,AN,BN,BN,BN,BN,BN,BN,BN,C,BN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,BN,AN,BN,W,AN,AN,AN,AN,AN,BN,AN,AN,AN,AN,BN,AN,AN,AN,AN
1988,W,C,C,C,D,C,C,D,C,C,C,C,D,BN,BN,BN,BN,BN,D,D,BN,BN,C,C,D,D,D,D,D,BN,BN,BN,D,D,BN,D,BN,BN,BN,D,BN,BN,BN
1989,AN,AN,BN,AN,AN,BN,BN,BN,BN,BN,AN,BN,BN,D,D,BN,BN,BN,BN,D,D,D,BN,D,BN,BN,BN,D,BN,D,C,C,BN,C,D,C,C,C,D,C,D,D,D
1990,BN,D,BN,D,D,D,BN,D,BN,D,BN,BN,D,BN,BN,AN,BN,BN,BN,BN,BN,BN,D,D,BN,BN,BN,BN,BN,D,D,D,BN,C,BN,D,BN,D,D,BN,D,BN,D
1991,D,BN,BN,BN,BN,AN,BN,AN,AN,BN,AN,BN,BN,AN,BN,BN,AN,AN,BN,BN,AN,BN,BN,BN,AN,AN,AN,AN,AN,AN,AN,W,AN,AN,W,AN,AN,AN,AN,AN,AN,AN,AN
1992,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,AN,AN,BN,AN,BN,BN,BN,AN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,W,BN,W,AN,W,W,W,W,W,W,W,AN
1993,D,AN,W,AN,AN,AN,AN,AN,AN,AN,AN,W,AN,AN,BN,AN,AN,W,AN,W,AN,AN,W,AN,BN,AN,BN,BN,BN,BN,BN,AN,BN,BN,BN,BN,AN,BN,BN,BN,AN,BN,AN
1994,AN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,AN,BN,AN,BN,AN,AN,BN,AN,AN,BN,BN,AN,AN,AN,AN,AN,AN,AN,BN,AN,BN,AN,BN,AN,BN,BN,AN,BN,AN,BN
1995,D,W,AN,W,AN,AN,AN,AN,AN,AN,W,AN,AN,W,AN,W,W,W,AN,AN,W,W,AN,AN,AN,W,AN,AN,AN,AN,AN,AN,AN,BN,BN,AN,AN,BN,AN,AN,AN,W,AN
1996,BN,BN,BN,BN,AN,AN,AN,BN,BN,BN,BN,BN,AN,AN,BN,AN,AN,AN,BN,BN,AN,AN,BN,BN,BN,BN,BN,BN,BN,AN,BN,AN,BN,C,BN,BN,AN,BN,BN,AN,AN,AN,AN
1997,W,C,BN,C,C,C,D,D,D,C,C,BN,C,BN,D,D,BN,D,C,C,BN,D,C,C,D,C,C,C,C,D,C,D,C,BN,BN,BN,D,BN,D,D,D,D,D
1998,C,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
1999,BN,BN,BN,BN,BN,BN,BN,AN,BN,BN,BN,BN,BN,BN,D,BN,BN,BN,BN,BN,BN,BN,BN,BN,AN,AN,AN,BN,AN,AN,AN,BN,AN,D,D,D,BN,D,BN,D,BN,C,BN
2000,BN,BN,AN,BN,AN,BN,AN,AN,AN,AN,AN,AN,BN,BN,BN,AN,AN,AN,AN,AN,BN,AN,BN,AN,AN,AN,AN,BN,BN,BN,BN,BN,BN,D,D,D,BN,D,BN,D,BN,C,BN
2001,W,BN,D,BN,BN,BN,BN,BN,BN,BN,BN,D,BN,AN,BN,AN,AN,AN,BN,BN,AN,BN,BN,BN,BN,BN,BN,AN,BN,AN,AN,AN,BN,BN,BN,BN,AN,BN,AN,BN,W,BN,AN
2002,W,BN,D,D,BN,D,BN,D,BN,BN,BN,D,BN,D,D,D,BN,D,D,BN,D,D,D,BN,BN,BN,BN,BN,BN,BN,D,D,BN,C,C,C,D,D,D,C,BN,C,D
2003,D,AN,BN,AN,AN,AN,AN,AN,AN,AN,AN,BN,AN,AN,AN,AN,AN,AN,AN,BN,BN,BN,BN,BN,W,AN,AN,BN,AN,AN,BN,AN,AN,BN,BN,BN,AN,AN,AN,BN,AN,BN,W
2004,W,D,D,D,BN,D,D,D,D,BN,D,D,D,BN,BN,AN,AN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,D,BN,BN,AN,BN,BN,BN,AN,AN,BN,AN,BN,BN
2005,C,AN,AN,AN,W,W,W,W,W,AN,AN,AN,W,AN,AN,W,AN,AN,AN,AN,AN,AN,AN,AN,W,W,W,AN,W,W,AN,AN,W,AN,BN,AN,AN,W,W,BN,AN,BN,AN
2006,D,AN,BN,AN,AN,AN,AN,AN,AN,AN,AN,BN,AN,AN,BN,W,AN,AN,AN,AN,BN,AN,AN,AN,AN,AN,AN,AN,AN,W,AN,BN,AN,D,BN,BN,BN,D,BN,BN,AN,D,AN
2007,AN,BN,D,BN,BN,BN,BN,D,BN,BN,BN,D,D,D,D,BN,D,D,D,D,C,D,D,BN,BN,BN,BN,BN,D,BN,D,C,D,D,C,C,D,C,C,C,BN,C,C
2008,W,C,C,C,C,C,D,C,D,C,D,C,C,D,C,BN,D,BN,D,C,D,D,C,C,C,C,C,D,C,D,D,D,C,BN,D,BN,BN,BN,BN,D,BN,D,D
2009,AN,BN,BN,BN,BN,BN,AN,D,BN,BN,BN,BN,BN,D,BN,BN,BN,BN,D,BN,D,D,BN,BN,BN,BN,BN,BN,BN,BN,D,D,BN,D,D,D,D,C,D,C,BN,C,D
2010,C,W,AN,W,W,W,W,AN,W,W,W,AN,W,W,W,W,W,W,AN,W,W,W,W,W,AN,W,W,W,W,W,AN,AN,W,W,W,W,W,AN,AN,W,W,AN,AN
2011,C,W,AN,W,AN,W,W,AN,W,W,W,AN,AN,AN,BN,AN,W,AN,W,W,AN,AN,W,W,W,AN,W,AN,BN,AN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN,BN
2012,D,BN,BN,BN,BN,BN,AN,AN,AN,BN,AN,BN,BN,BN,BN,AN,AN,BN,BN,BN,D,BN,BN,BN,BN,BN,AN,AN,BN,BN,BN,C,BN,BN,C,D,BN,C,C,D,D,D,BN
2013,W,C,C,C,C,C,D,C,D,C,C,C,C,D,C,C,BN,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,BN,C,BN,D,D,C,D,C,D,C
2014,BN,D,D,D,D,D,BN,D,BN,D,D,D,D,BN,D,BN,BN,BN,BN,D,C,D,D,BN,BN,D,BN,BN,D,C,C,C,D,D,C,BN,D,D,D,D,C,D,C
